Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Pazcare,Bangalore,Insurance,Paz Care is India's leading Employee Benefits & Health insurance platform,"BEENEXT, 3one4 Capital","$3,500,000.00",Seed
kWh Bikes,Bangalore,Automotive,Building India’s strongest and smartest electric 2 wheelers,"Let’s Venture, Better Capital","$2,000,000.00",Seed
IBSFINtech,Bangalore,Information Technology & Services,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.",,"$1,000,000.00",Pre-series A
LeadSquared,Bangalore,Computer Software,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",International Finance Corporation,$nan,
Phool.co,Kanpur,Renewables & Environment,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",$nan,
Twin Health,Chennai,Health,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors","$140,000,000.00",Series C
Trica,Mumbai,Equity Management,Powering private markets - A technology platform for startups and investors.,LetsVenture,"$3,000,000.00",Seed
mHealth,New Delhi,Health,mHealth  is AI based corporate wellness platform  to spread happiness & well-being,India Accelerator,$nan,Seed
Rebel Foods,Mumbai,Cloud kitchen,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.",Qatar Investment Authority,"$175,000,000.00",Series F
ProfitWheel,Mumbai,Marketing & Advertising,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,"Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani","$3,000,000.00",Seed
Log 9 Materials,Bangalore,Nanotechnology,Log9 Materials is on a mission to make global energy 100% clean.,Petronas Ventures,"$2,000,000.00",
Chingari,Bangalore,Entertainment,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",Solana,"$19,000,000.00",
Ishitva,Ahmedabad,Computer Software,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",Inflection Point Ventures,"$1,000,000.00",Pre-series A
Ola Electric,Bangalore,Automotive,Sustainability for the future.,"Falcon Edge, Softbank","$200,000,000.00",
leap.club,Gurugram,Community,A community-led professional network for women,"Enzia Ventures, Kunal Shah","$810,000.00",Pre-series A
F5,New Delhi,Retail,One-Stop Solution for Daily Workplace Needs,Auxano Capital,"$600,000.00",Pre-series A
ForeignAdmits,Bangalore,Higher Education,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,Unicorn India Ventures,"$400,000.00",Seed
SALT,Bangalore,Financial Services,Salt is a neo-banking experience created to cater to international businesses.,"Prashant Pansare, Supermorpheus","$500,000.00",Pre-seed
EarnWealth,Pune,Financial Services,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",,"$500,000.00",Pre-series A
Visit Health,New Delhi,Health,"Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.",Docprime Technologies,"$7,500,000.00",
Crater.Club,Bangalore,Media,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",LC Nueva AIF,"$700,000.00",Seed
NFTically,Gurugram,NFT,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.","Nitish Mittersain, Gaurav Munjal","$1,000,000.00",Seed
ReshaMandi,Bangalore,B2B,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.","9Unicorns, Venture Catalysts, Sandeep Singhal","$30,000,000.00",Series A
Zetwerk,Bangalore,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,TradeCred,"$600,000,000.00",
Hubilo,Ahmedabad,Software,Hubilo is the leading hybrid event platform built for engagement and event excellence.,Alkeon Capital,"$125,000,000.00",Series B
M2P Fintech,Chennai,Financial Services,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",Tiger Global,"$35,000,000.00",Series C
Open Financial Technologies,Bangalore,Financial Services,Open is Asia’s first neobanking platform for SMEs and startups.,"Temasek, Google, SBI Investment","$90,000,000.00",Series C
Niro,Bangalore,Financial Services,Embedding personal credit products into leading consumer internet platforms.,Elevar Equity,"$3,500,000.00",Seed
Wiingy,Bangalore,E-learning,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,Aroa Ventures,"$400,000.00",
CarDekho,Jaipur,Automotive,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,,"$250,000,000.00",Series E
Melorra,Bangalore,D2C jewellery,A company that styles jewellery for the contemporary wardrobe.,"9Unicorns, Symphony International Holdings Limited, Value Quest","$24,000,000.00",
AnKa SumMor,Bangalore,Sales and Distribution,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",Inflection Point Ventures,"$1,000,000.00",Pre-series A
Toch.ai,Mumbai,SaaS,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.",,"$11,000,000.00",Series A
Playto Labs,Bangalore,E-learning,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,Inflection Point Ventures,"$500,000.00",Seed
Fraazo,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,WestBridge Capital,"$50,000,000.00",Series B
Arcana,Bangalore,Information Technology & Services,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,"Republic Crypto, Woodstock, DCG, Sahil Lavingia","$2,300,000.00",
FloCareer,Bangalore,Information Services,"The Best Skills Validation Platform that provides ""Interview As-A-Service""?.",Data Point Capital,"$5,700,000.00",Series A
Nap Chief,Mumbai,Apparel & Fashion,India's favourite Kid's wear and Family Sleepwear D2C Brand,Titan Capital,"$200,000.00",Seed
AcknoLedger,Mumbai,Crypto,AcknoLedger is a Global platform that distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital","$1,500,000.00",Seed
ApplicateAI,Gurugram,Information Technology & Services,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",,"$30,000,000.00",Series A
VLCC Health Care,Gurugram,Health,VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,,"$4,000,000.00",
Duroflex,Bangalore,Furniture,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",Norwest Venture Partners,"$60,000,000.00",
Aviom India,Bhilwara,Financial Services,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,Sabre Partners,"$8,000,000.00",Series C
Onato,Bangalore,Computer Software,A startup solving inefficiencies in the agri supply chain,"Vertex Ventures, Omnivore","$2,200,000.00",
Mestastop Solutions,Bangalore,BioTechnology,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",CIIE.CO,"$100,000.00",
SaaS Labs,Noida,SaaS,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.","Base 10 Partners, Eight Roads Ventures","$17,000,000.00",Series A
Devnagri,Noida,Translation & Localization,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.","enture Catalyst, IPV","$600,000.00",Seed
CRED,Bangalore,Finance,CRED is a credit card payment platform that rewards users with points for paying their bills.,"Tiger Global, Falcon Edge","$250,000,000.00",Series E
ConveGenius,Noida,Education Management,An EdTech social enterprise focused on closing the gap in educational achievement for children and youth in India.,"BAce Capital, Heritas Capital, 3Lines Venture Capital","$5,000,000.00",Pre-seed
Totality,Gurugram,Entertainment,"Totality with the goal of combining scalability through technology, innovation through design & retention through content.","Leo Capital, Mayfield Fund","$1,000,000.00",
CredAble,Mumbai,Financial Services,CredAble provides liquidity programs for enterprise supply chains.,"Plutus Wealth, Oaks Asset Management","$30,000,000.00",Series B
MarketWolf,Mumbai,Financial Services,"MarketWolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen","$5,500,000.00",Seed
Wondrlab,Mumbai,Marketing & Advertising,India's largest platform-first martech startup,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings","$7,000,000.00",Pre-series A
SUN Mobility,Bangalore,Automotive,Provider of universal energy infrastructure and services to accelerate mass EV usage!,Vitol,"$50,000,000.00",
Tamasha,Mumbai,Entertainment,"Tamasha, the next-generation interactive entertainment platform.",Chiratae Ventures,"$3,000,000.00",Pre-series A
Revfin,New Delhi,Financial Services,"RevFin is a financial technology (FinTech) company, advanced digital lending platform makes getting a loan convenient and accessible for customers","Ruchirans Jaipuria, Rishi Kajaria","$4,000,000.00",Pre-series A
Yu Foodlabs,Gurugram,Food & Beverages,Re-imagining Packaged Foods with Natural Ingredients & ZERO Preservatives,"Manish Choksi, Varun Vakil","$1,000,000.00",Pre-series A
MergerDomo,New Delhi,Investment Banking,MergerDomo is the one-stop Global OnLine M&A marketplace for Corporate and Business Growth,Nadir B Godrej,"$500,000.00",
FarMart,Gurugram,Farming,FarMart is an agritech platform that helps businesses easily source high quality produce at reasonable prices.,Matrix Partners India,"$10,000,000.00",Series A
Questt,Gurugram,EdTech,Questt is a Free online homework app that lets teachers assign gamified homework to students.,Celesta Capital,"$6,750,000.00",Series A
IDfy,Mumbai,Information Technology & Services,IDfy helps people and business build authentic relationships by ensuring that both parties are who they claim to be and can be trusted.,"TransUnion, Blume Ventures","$10,000,000.00",Series D
ClearDekho,Ghaziabad,Retail,ClearDekho is India’s Leading Affordable Eyewear Brand.,Aroa Ventures,"$4,000,000.00",Pre-series A
BookingJini,Gurugram,Hospitality,BookingJini strive to empower Hotels from all aspects ranging from customer outreach to automate their booking process and improve their online presence and revenue to stimulate Top-line and Bottom-line growth.,Mumbai Angels Network,"$1,200,000.00",Pre-series A
Sourcewiz,Gurugram,Information Technology & Services,Building a platform for exporters to digitize their workflows and help them grow and manage their business.,"Blume, Alpha Wave Incubation","$3,000,000.00",Seed
Tvasta,Chennai,Mechanical & Industrial Engineering,Developing new-age manufacturing and automation technologies that can increase human productivity by allowing deep personalization.,Habitat for Humanity International,"$400,000.00",
Kafqa Academy,Bangalore,E-learning,"Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.","Global Founders Capital, Enzia Ventures, Better Capital","$1,300,000.00",Seed
Trell,Bangalore,Social commerce,Trell is turning over a new leaf with the wave of digitalization sweeping across the nation,Amazon,"$100,000,000.00",
Storia,Mumbai,Food & Beverages,"Storia Foods and Beverages is committed to creating products that are natural, full of goodness and promote a healthy lifestyle.",Sixth Sense Ventures,"$6,000,000.00",Series A
Clear,Bangalore,Computer Software,India’s leading FinTech SaaS platform,"Kora Capital, Stripe, Alua Capital","$75,000,000.00",Series C
Groww,Bangalore,Finance,Groww is on a mission to democratize access to financial services for millions of Indians responsibly.,Iconiq Growth,"$250,000,000.00",Series E
The Indus Valley,Chennai,Consumer Goods,Consumer GoodsThe Indus Valley is a Direct to Consumer (D2C) healthy kitchenware brand.,"Rukam Capital, DSG Consumer Partners, The Chennai Angels","$1,100,000.00",
BharatPe,New Delhi,Financial Services,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",MAS Financial Services,"$10,000,000.00",
Teachmint,Bangalore,E-learning,Teachmint is an education infrastructure provider and India’s largest teaching platform.,"Rocketship.vc, Vulcan Capital","$78,000,000.00",Series B
Porter,Bangalore,Logistics & Supply Chain,Porter is India's Largest Marketplace for Intra-City Logistics.,"Tiger Global, Vitruvian Partners","$100,000,000.00",Series E
O4S,Gurugram,Information Technology & Services,O4S SaaS helps Consumer Brands to Digitize and Automate their Supply Chain thereby increasing Sales and Performance.,"Think Investments, Venture Highway","$6,000,000.00",Series A
Wobb,Gurugram,Marketing,The platform for marketers to find and work with influencers,"Alok Kohli, Sanjeev Bhargava","$200,000.00",Pre-seed
BASIC Home Loan,Gurugram,Financial Services,BASIC Home Loan is India's first automated platform for secured lending with special focus on the affordable housing segment.,"Venture Catalysts, Gruhas Proptech","$3,500,000.00",Series A
Siply,Bangalore,Financial Services,"A tech-enabled micro-savings platform, for the underserved masses, that makes it possible to save starting at Re. 1","LetsVenture, AngelList India, Founder's Room Circle","$3,200,000.00",Pre-series A
BankSathi,New Delhi,Financial Services,"BankSathi is a Fintech platform to empower consumers to save money and time on financial products through safe, easy, and trustable shopping experience.","Dinesh Godara, Anuj Ahuja, Aditya","$500,000.00",
Gramophone,Indore,AgriTech,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.",Z3Partners,"$10,000,000.00",
Healofy,Bangalore,FemTech,Healofy was created with a mission to experience special motherhood through its products and its inexhaustive and evergrowing babycare tips,"Celesta Capital, Omidyar Network India","$6,000,000.00",Series B
E42,Pune,Computer Software,E42 is the world’s leading Natural Language Processing- based AI platform driving enterprise cognition across processes.,Pavestone Ventures,"$5,400,000.00",Series A
Spottabl,Bangalore,Human Resources,Spottabl is a technology driven recruitment platform that has helped over 50 tech startups and growth stage companies discover their top talent through its intelligent and human backed model.,"LetsVenture, Paradigm Shift VC, Binny Bansal","$400,000.00",Seed
DeHaat,Gurugram,Information Technology & Services,DeHaat™ is one of the fastest growing start-ups in Agri Tech sector and one of the very few companies providing end-to-end solutions and services to the farming community in India.,"Sofina, Lightrock India, Temasek","$115,000,000.00",Series D
Shumee,Bangalore,Retail,"An Indian, mom-made toy brand passionate about making playtime development-friendly, child-safe, and sustainable. Our design philosophy is that play is 90% child and 10% toy.",Dia Mirza,$nan,
Zolve,Bangalore,Financial Services,World's first cross-border Neobank,DST Global,"$40,000,000.00",Series A
Instoried,Bangalore,Computer Software,"The platform helps content writers in e-commerce, news, FMCG, and other verticals to optimize emotions in their marketing content.","Pritt Investment Partners, 9Unicorns","$8,000,000.00",
SportZchain,Mumbai,Sports,SportZchain is India's first blockchain based platform poised to disrupt a multi-billion dollar fan engagement industry.,"Darq Capital, Jagadeesh Atukuri","$400,000.00",Pre-seed
Hypto,Chennai,Tech Startup,The next generation of web services that democratize access to finance for developers and businesses.,Stellaris Venture Partners,"$3,000,000.00",Seed
CHUPPS,Mumbai,Foootwear,D2C footwear brand,Venture Catalysts,"$1,100,000.00",Pre-series A
Zenduty,Bangalore,Computer Software,"Next-generation end-to-end incident response platform for SREs, DevOps, ITOps and Support teams",StartupXseed Ventures,"$1,900,000.00",Pre-series A
R for Rabbit,Ahmedabad,Consumer Goods,The concept of R for Rabbit was conceived after the founder of the company was blessed with a baby.,Xponentia Capital Partners,"$5,000,000.00",
Acko,Bangalore,Insurance,ACKO is India’s first and fastest growing InsurTech company which makes buying and using insurance effortless.,"General Atlantic, Multiples","$255,000,000.00",Series D
LoveLocal,Mumbai,Retail,LoveLocal (formerly known as m.Paani) is bringing Trusted Local Shops Online and empowering them to deliver the neighbourhood shopping experience of the future.,Vulcan Capital,"$18,000,000.00",Pre-series B
SupplyNote,Noida,Food & Beverages,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.",Venture Catalysts,"$1,200,000.00",Pre-series A
Vakilsearch,Chennai,Legal Services,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",InCorp India,"$10,000,000.00",
Cloudphysician,Bangalore,Hospital & Health Care,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,Elevar Equity,"$4,000,000.00",Pre-series A
Wiggles.in,Pune,Veterinary,Wiggles India is a preventative healthcare brand for all things pets!,Anthill Ventures,"$5,500,000.00",Pre-series A
Avanti Finance,Bangalore,Financial Services,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,"Oikocredit, Nomura, The Bill & Melinda Gates Foundation","$15,000,000.00",Series A2
Vanity Wagon,New Delhi,Consumer Goods,Vanity Wagon is India's first true information oriented clean beauty marketplace.,Inflection Point Ventures,"$700,000.00",Pre-series A
Purplle,Mumbai,E-commerce,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,Kedaara,"$70,000,000.00",
Wallmantra,Noida,Arts & Crafts,WallMantra is a well reputed wall decoration online store in India.,Velocity,$nan,
MFine,Bangalore,Hospital & Health Care,"MFine aims to make access to trusted healthcare simple, fast, and effective.","Moore Strategic Ventures, BEENEXT","$48,000,000.00",Series C
Aquatein,Mumbai,Food & Beverages,India's First Protein Water in 21g and 10g Variants with BCAA.,Eaglewings Ventures,$nan,Seed
Mentza,Mumbai,E-learning,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform",Inflection Point Ventures,"$400,000.00",Seed
ConnectedH,Gurugram,Hospital & Health Care,Connect different sectors of healthcare system and give the patients complete control over their information.,"Kalaari Capital, Incubate Fund India","$2,300,000.00",Seed
CredAvenue,Chennai,FinTech,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,"Sequoia Capital, Lightspeed, TVS Capital Funds","$90,000,000.00",Series A
Vedantu,Bangalore,E-learning,Vedantu is a LIVE online learning platform that brings together students and teachers to achieve best results.,ABC World Asia,"$100,000,000.00",Series E
Exotel,Bangalore,Telecommunications,"Asia's largest customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.","IIFL AMC, Sistema Asia Fund, CX Partners, Singularity Growth Opportunities Fund","$35,000,000.00",Series C
Fantasy Akhada,Gurugram,Sports,Fantasy Akhada is one of India's fastest growing Fantasy Sports Platform.,Prime Securities Limited,"$2,000,000.00",Series A
Meesho,Bangalore,Social commerce,Meesho is India’s largest marketplace for longtail products.,"Fidelity, B Capital","$570,000,000.00",
PumPumPum,Gurugram,Automotive,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,LC Nueva AIF,$nan,
Cusmat,Hyderabad,Computer Software,CUSMAT is India’s largest immersive skilling and training platform.,We Founder Circle,"$100,000.00",Pre-series A
Homeville,Mumbai,Information Technology & Services,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,"9Unicorns, Varanium NexGen Fund","$7,000,000.00",
Coinshift,Chandigarh,Blockchain,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,"Sequoia Capital, Sandeep Nailwal","$2,500,000.00",Seed
Strip Finance,Hyderabad,Financial Services,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,"Old Fashion Research, Nothing Research, Tenzor capital","$400,000.00",Seed
Ola Electric,Bangalore,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,"Falcon Edge, Softbank","$200,000,000.00",
Kolo,Bangalore,Construction,Home construction app for finding ideas and service providers near you,Better Capital,"$550,000.00",Pre-seed
Chqbook,Gurugram,FinTech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Aavishkaar Capital, Rajiv Dadlani Group","$5,000,000.00",Pre-series B
My3DSelfie,Guwahati,Arts & Crafts,World's first to create 3d figurine from photos,"NEVF, AccelNest",$nan,Pre-series A
EV Plugs,Gurugram,Information Technology & Services,EV charging station aggregator platform,,"$150,000.00",
Rulezero,Bangalore,Financial Services,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.",The Treasury,"$2,500,000.00",Seed
CredRight,Hyderabad,Financial Services,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple","9Unicorns, Spearhead Capital, Venture Catalysts","$2,700,000.00",
Karbon Card,Bangalore,FinTech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Ramp, Rainfall Ventures, Roka Works, Y Combinator","$12,000,000.00",Pre-series A
Auntie Fung,Bangalore,Food & Beverages,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,India Angel Network,"$400,000.00",
ePayLater,Mumbai,Financial Services,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,"Responsibility, Blue Ashva Capital, Pravega Ventures","$10,000,000.00",Series B
Fittr,Pune,Health,"FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Dream Capital, Elysian Park Ventures","$11,000,000.00",Series A
Medikabazaar,Mumbai,HealthTech,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.","CDC Group, Creaegis","$75,000,000.00",Series C
Nimble Growth Organics,Bangalore,Farming,Nimble Growth Organics is the new age Agri startup which through its proprietary package of practice (PoP) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,,$nan,Seed
Delhivery,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,"Lee Fixel’s venture capital firm, Addition","$125,000,000.00",
Akudo,Bangalore,Financial Services,A Learning-First Neobank for teenagers - Enable practical financial education for child today,"Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels","$4,200,000.00",Seed
Sanctum Wealth,Mumbai,Investment Management,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,The Xander Group,"$10,000,000.00",
88academics,New Delhi,Education,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Aarin Capital,"$3,000,000.00",Pre-series A
Upgame,Gurugram,Sports,Upgame is the leading data intelligence and practice tracking platform for golfers,"James Milner, Adam Lallana",$nan,
Sanfe,New Delhi,Health,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"LetsVenture, Ajay Garg, Tarun Sharma","$1,000,000.00",Series A
PredictiVu,Gurugram,Management Consulting,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",Kunal Sarkar,"$1,500,000.00",Pre-seed
Sterling Accuris Wellness,Ahmedabad,Hospital & Health Care,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",Morgan Stanley Private Equity Asia,"$30,000,000.00",
Bijnis,New Delhi,B2B,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,Westbridge Capital,"$30,000,000.00",Series B
Capital Float,Bangalore,Financial Services,India's leading BNPL and digital credit platform serving millions of aspirational individuals.,Lightrock India,"$50,000,000.00",
Manch Technologies,Bangalore,Information Technology & Services,"A Single Click Work Flow E-Sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",Bharat Inclusion,"$1,000,000.00",Pre-series A
Sochcast,,Online Media,"CA Harvinderjit Singh Bhatia, Garima Surana, Anil Srivatsa",$Undisclosed,$nan,
Glamyo Health,New Delhi,Hospital & Health Care,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,Ananta Capital,"$3,000,000.00",Series A
CashBook,Gurugram,FinTech,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","JAM, Better Tomorrow Ventures","$2,300,000.00",Seed
The Money Club,Noida,Financial Services,The Money Club is a mobile platform for peer to peer chit funds.,"SOSV, Venture Catalysts","$1,700,000.00",Pre-series A
SuperZop,Mumbai,Retail,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,Incofin’s India Progress Fund,"$4,000,000.00",Series A
Zypp Electric,Gurugram,Logistics & Supply Chain,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.","9Unicorns, Anthill Ventures","$7,000,000.00",Series A
Alpha Coach,Mumbai,Professional Training & Coaching,One to One Personal Fitness Coaching,Jani Ventures INC,"$1,200,000.00",
VRO Hospitality,Bangalore,Hospitality,One of the fastest-growing hospitality companies based out of Bangalore.,CreedCap Asia Advisors,"$3,000,000.00",Series A
byteXL,Hyderabad,E-learning,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.",Joseph Joy,"$200,000.00",
Leena AI,Gurugram,Computer Software,AI to help enterprises transform the employee experience.,Bessemer Venture Partners,"$30,000,000.00",Series B
CARS24,Gurugram,Automotive,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","DST Global, Falcon Edge, SoftBank Vision Fund 2","$450,000,000.00",Series F
Klub,Bangalore,Financial Services,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.",Trifecta Capital,"$2,000,000.00",Debt
Bluepad,Bangalore,Online Media,A one-stop solution for aggregated content  in vernacular languages,"Titan Capital, AngelList's syndicate","$200,000.00",Pre-seed
FloBiz,Bangalore,Information Technology & Services,Neobank for Growing SMBs. Simplify GST Billing & Accounting needs with myBillBook App.,Sequoia Capital India,"$31,000,000.00",Series B
Tummoc,Bangalore,Mobility,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,"Vineet Singh, Krishna D, Deependra Bisht, Alan Aim","$540,000.00",Seed
Design Cafe,Bangalore,Design,Design Cafe is on a mission to democratize good design for homes in India.,"Westbridge Capital, Sixth Sense Ventures","$25,000,000.00",
PayCardo,Pune,Financial Services,A true Contactless & Cashless and secure payment system reducing cash dependency,MaGEHold,$nan,Pre-seed
Aerchain,Bangalore,Computer Software,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Season Two Ventures, IndiaMart","$3,000,000.00",Pre-series A
Expertrons,Mumbai,E-learning,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Kunal Shah, Anant Maheshwari",$nan,
CuriousJr,Gurugram,E-learning,CuriousJr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,"WaterBridge Ventures, Enzia Ventures","$1,000,000.00",Seed
Wow! Momo,Kolkata,Food & Beverages,WOW! Momo is one of the fastest-growing food brands in India.,Tree Line Investment Management,"$15,000,000.00",Series C
Supertails,Bangalore,Consumer Services,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,Alteria Capital,"$700,000.00",
LifeCell,Chennai,BioTechnology,A building block of the team that preserves the building blocks of life,Orbimed Asia Partners,"$30,000,000.00",
ZestMoney,Bangalore,Financial Services,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.",Zip Co,"$50,000,000.00",Series C
FrontRow,Bangalore,E-learning,"FrontRow enables everyone to pursue their passions - get better, learn from the best and get noticed!","Eight Roads Ventures, GSV","$14,000,000.00",Series A
HappyCredit,Bangalore,FinTech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Kunal Shah, Krishna Kumar","$600,000.00",Pre-seed
Endimension,Mumbai,HealthCare,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,Inflection Point Ventures,"$300,000.00",Seed
Frenzi,Mumbai,Online Media,India’s Fastest Growing Streaming Social Network,SucSEED Indovation Fund,$nan,Seed
Leverage Edu,New Delhi,Higher Education,India's Most Trusted Study Abroad Platform,"Vijay Shekhar Sharma, Rohit Kapoor, Amanpreet Bajaj, Lalit Singh",$nan,
BeepKart,Bangalore,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Stellaris Venture Partners, Chiratae Ventures","$3,000,000.00",Seed
