Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Braingroom,Chennai,EdTech,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","IAN, Social Alpha, Startup Oasis","$200,000.00",
Edvizo,Bangalore,Consumer Services,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Inflection Point Ventures,"$1,000,000.00",Pre-series A
Credenc,New Delhi,FinTech,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Capital India,"$25,000,000.00",
GlobalBees,New Delhi,D2C,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,"FirstCry, Lightspeed Venture Partners","$150,000,000.00",Series A
Spinny,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,Tiger Global,"$108,000,000.00",Series D
Mynvax,Bangalore,BioTechnology,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Accel, LetsVenture, 1Crowd","$4,000,000.00",Series A
RiseBird,Pune,Human Resources,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,SAB Holdings,"$500,000.00",
Uvi Health,Bangalore,HealthCare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Titan Capital,"$330,000.00",Pre-seed
Vegrow,Bangalore,Farming,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,"Lightspeed Venture Partners, Elevation Capital","$13,000,000.00",
Automovill,Bangalore,Automotive,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.",Mumbai Angels Network,"$500,000.00",
NFTically,Gurugram,NFT Marketplace,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Jayanti Kanani,$nan,Seed
HealthifyMe,Bangalore,HealthCare,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"LeapFrog, Khosla Ventures","$75,000,000.00",Series C
GalaxyCard,Gurugram,FinTech,GalaxyCard is a mobile based Instant Credit Card.,JITO Angel Network,"$450,000.00",
Bella Vita Organic,Gurugram,HealthCare,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Ananta Capital,"$10,000,000.00",
SmartCoin,Bangalore,FinTech,India's Most Preferred Instant Loan App,"Northern Arc, Vivriti Capital","$10,000,000.00",
CareerNinja,Mumbai,EdTech,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",Unitus Ventures,$nan,Seed
MYSUN,New Delhi,Solar,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",TATA Cleantech Capital,"$2,000,000.00",
Sea6 Energy,Bangalore,BioTechnology,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",Aqua-Spark,"$9,000,000.00",Series B
Beco,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",Climate Angels Fund,"$500,000.00",Seed
OneCode,Bangalore,Internet,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Sequoia’s Surge, Nexus Venture Partners","$5,000,000.00",
MedPay,Bangalore,IT,MedPay® is building the real-time claims adjudication platform for health insurers.,"Entrepreneur First (EF), GrowX Ventures","$1,200,000.00",Seed
Inshorts,Noida,Internet,Built Inshorts with a promise to deliver news,Vy Capital,"$60,000,000.00",
Digantara,Bangalore,SpaceTech,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",Kalaari Capital,"$2,500,000.00",Seed
Aqgromalin,Chennai,AgriTech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,Zephyr Peacock,"$700,000.00",Seed
Square Yards,Gurugram,Real Estate,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,ADM Capital,"$25,000,000.00",
OYO,Gurugram,Hospitality,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,"SoftBank Vision Fund, Hindustan Media Venture","$660,000,000.00",
Slang Labs,Bangalore,Computer Software,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,100x Entrepreneurs,$nan,
NirogGyan,Gurugram,HealthCare,"Simplifying Diagnostics for labs, doctors, and people.","Healthcare veterans, PIEDS",$nan,Seed
Ola Electric,Bangalore,Automotive,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bank of Baroda,"$100,000,000.00",Debt
Bikry app,Noida,Consumer software,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",YCombinator,"$1,300,000.00",
Oliveboard,Bangalore,EdTech,Oliveboard is the top exam preparation platform for Banking & Government Exams.,IAN Fund,"$3,000,000.00",
Little Leap,New Delhi,EdTech,Soft Skills that make Smart Leaders,Vishal Gupta,$nan,
Trell,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Mirae Asset, H&M","$45,000,000.00",Series B
Kredent,Kolkata,EdTech,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,Kotak Securities,"$1,000,000.00",
EasyAspataal,Mumbai,HealthCare,India’s First Digital Admission Desk for Hospitalisation.,Venture Catalysts,"$500,000.00",Seed
SMOOR,Bangalore,Food & Beverages,Instigate your sixth sense with our new range of chocolates.,Klub,$nan,
Pankhuri,Bangalore,Social community,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Sequoia’s Surge,"$3,200,000.00",
Arcana,Bangalore,IT,Arcana is the Storage Layer of Ethereum.,Balaji Srinivasan,"$370,000.00",Seed
AdmitKard,Noida,EdTech,A tech solution for end to end career advisory to students looking to study abroad.,$1000000,$nan,
UrbanKisaan,Hyderabad,Food & Beverages,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,BASF Venture Capital GmbH,$nan,
Aquaconnect,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,"Rebright Partners, Flourish Ventures","$4,000,000.00",Pre-series A
