Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Biconomy,New Delhi,Blockchain,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Binance Labs, Zee Prime Capital",1500000.0,Seed,2021
True Elements,Pune,Food & Beverages,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!",RP-Sanjiv Goenka Group,1000000.0,,2021
Nao Spirits & Beverages Pvt Ltd,New Delhi,Beverages,India's first Craft Gin company,,2000000.0,Series A,2021
PurpleTutor,Mumbai,EdTech,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,IvyCap Ventures,300000.0,Seed,2021
Karkhana.io,Mumbai,Manufacturing startup,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Zone Startups In,1500000.0,Seed,2021
SSA Finserv,Mumbai,FinTech,Small businesses-focused non-banking lender,Blue Ashva Capital,3000000.0,,2021
CoinSwitch Kuber,Bangalore,Crypto,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ribbit Capital, Kunal Shah",15000000.0,Series A,2021
Paperfly,Bangalore,E-commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,Ecom Express,11000000.0,,2021
Infra.Market,Thane,E-commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,InnoVen Capital,6000000.0,Debt,2021
ReadyAssist,Bangalore,Vehicle repair startup,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Satish Grampurohit,1000000.0,Seed,2021
Chalo,Mumbai,IT,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Amit Singhal, Raine Ventures",7000000.0,,2021
Udaan,Bangalore,E-commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Octahedron Capital, Moonstone Capital",280000000.0,,2021
Unacademy,Bangalore,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000.0,,2021
Ergos,Samsitpur,AgriTech,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"CDC Group, Aavishkaar Venture Capital",3000000.0,Series A,2021
Bolkar,Bangalore,Social network,Bolkar App is an Audio Based Q&A platform for the Next Billion Users.,"GSF, Pras Hanuma",0.0,,2021
Wright Research,Mumbai,Advisory firm,Quantitative Investment Management and Research,"Ajat Hukkoo, Piyush Chaplot",0.0,Pre-seed,2021
Knocksense,Lucknow,Media,Knocksense which owns and operates an eponymous digital content platform.,"Mumbai Angels, Amitesh Pandey",200000.0,,2021
Pariksha,Pune,EdTech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Venture Catalysts, 9Unicorns Accelerator Fund",1800000.0,,2021
Toothsi,Mumbai,HealthCare,ToothSi is a new age startup in the dental space providing smile correction services at home.,Think Investments,5000000.0,Series A,2021
Jumbotail,Bangalore,Food & Beverages,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",14300000.0,Series B3,2021
Phi Commerce,Pune,FinTech,"Payments Facilitator, Payments solution provider etc.","Yatra Angel Network, BEENEXT",4000000.0,Series A,2021
Zupee,Gurgaon,Gaming,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Orios Venture Partners, Matrix Partners India",10000000.0,,2021
Oneiric Gaming,Chandigarh,Gaming,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,Trishneet Arora,0.0,,2021
Finsall,Bangalore,InsureTech,Finsall provides Insurance Premium Financing,Unicorn India Ventures,300000.0,Seed,2021
Legalwiz.in,Ahmedabad,LegalTech,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.",ContCentric,500000.0,,2021
Practically,Telangana,EdTech,"Making Learning personal, immersive and experiental",Siana Capital,4000000.0,Pre-series B,2021
